name,prefix,alias
Valle De Elda,"CIPFP ",Instituto
Batoi,"CIPFP ",Instituto
Repelega,null,Instituto
San Rafael De La Santa Espina,null,Instituto
CIFP Del Mar,CIFP,Instituto
CIFP De Lorca,CIFP,Instituto
CIFP La Granja,CIFP,Instituto
Ciudad De Béjar,null,Instituto
Ausiàs March,"CIPFP ",Instituto
Miguel Altuna,null,Instituto
Marítimo Zaporito,null,Instituto
Complejo Educativo De Cheste,"CIPFP ",Instituto
De Ponferrada,null,Instituto
Centro Integrado De F.p. De Avilés,null,Instituto
Josep Pla,null,Colegio
Oriol Martorell,null,Colegio
Burbujas,null,Escuela Infantil
Azorín,null,Colegio
Adeje,null,Colegio
El Pi,null,Colegio
Fàtima,null,Colegio
Municipal,"CONSERVATORI PROFESSIONAL DE MÚSICA ",Instituto
Siete Palmas,null,Colegio
Marcos Redondo,null,Instituto
Els Àngels,null,Colegio
Puerto Del Rosario,null,Colegio
Les Aigües,null,Colegio
La Estrella,null,Escuela Infantil
Palau,null,Colegio
Rayuela,null,Escuela Infantil
Portugalete,null,Instituto
Profesional Da Coruña,null,Instituto
Simó Ballester,null,Colegio
Son Serra,null,Colegio
Sestao,null,Instituto
Gernika-lumo,null,Instituto
Gelves,null,Instituto
Sobrarbe,null,Instituto
De Monterroso,null,Instituto
L'avet,null,Escuela Infantil
Luis De Góngora,null,Instituto
Atalaya,null,Instituto
Arcipreste De Hita,null,Instituto
Sant Ramón,null,Instituto
Virgen De La Cabeza,null,Instituto
Les Corts,null,Instituto
Diego Gaitán,null,Instituto
Baix Montseny,null,Instituto
Campanillas,null,Instituto
La Oca,null,Escuela Infantil
La Orden,null,Instituto
Puerto De La Torre,null,Instituto
Sol Y Luna,null,Escuela Infantil
Vallès,null,Instituto
Galeón,null,Instituto
Gente Menuda,null,Escuela Infantil
Cuenca Minera,null,Instituto
Mateo Hernández,null,Instituto
Aznalcóllar,null,Instituto
Ramón Llull,null,Instituto
Miraflores,null,Instituto
De Palamós,null,Instituto
San Andrés,null,Colegio
La Guancha,null,Instituto
Rafael Alberti,null,Instituto
Valle De Lecrín,null,Instituto
Genil,null,Instituto
Jaime Gil De Biedma,null,Instituto
El Palo,null,Instituto
Montes Claros,null,Instituto
D'alella,null,Instituto
Los Montes,null,Instituto
La Garrotxa,null,Instituto
Hermanos Machado,null,Instituto
Victoria Kent,null,Instituto
Piolín,null,Escuela Infantil
Felipe II,null,Instituto
Caramelo,null,Escuela Infantil
Gabriela Mistral,null,Instituto
Sierra De Líjar,null,Instituto
Bellvitge,null,Instituto
Francisco De Quevedo,null,Instituto
De Zaragoza,null,Instituto
Los Alcores,null,Instituto
Rosalía De Castro,null,Colegio
Diamantino García Acosta,null,Instituto
Miramar,null,Instituto
Gádor,null,Instituto
María Rúbies,null,Instituto
Bajo Cinca,null,Instituto
Torreblanca,null,Instituto
Petit Príncep,null,Escuela Infantil
Portada Alta,null,Instituto
Las Encinas,null,Instituto
Petete,null,Escuela Infantil
Travesuras,null,Escuela Infantil
Teror,null,Instituto
Albayzín,null,Instituto
La Guarde,null,Escuela Infantil
Premià De Mar,null,Instituto
Clara Campoamor Rodríguez,null,Instituto
De Vilanova I La Geltrú,null,Instituto
Arrasate,null,Instituto
Mi Cole,null,Escuela Infantil
Sierra De Segura,null,Instituto
Mar Menor,null,Instituto
San Jerónimo,null,Instituto
